Close,Fermer,,"src/main/java/controller/FullMapController.java:755
src/main/java/controller/CartoViewController.java:271
src/main/java/controller/ManualViewController.java:558
src/main/java/controller/ConfigViewController.java:920
src/main/java/littlewins/winGPS.java:219
src/main/java/littlewins/winLog.java:95
src/main/java/systemio/filesmove.java:72
src/main/java/systemio/webdown.java:70",
Position,Position,,src/main/java/controller/WaypViewController.java:247,
Edit,Editer,,src/main/java/controller/WaypViewController.java:255,
Delete,Supprimer,,"src/main/java/controller/WaypViewController.java:263
src/main/java/controller/CarnetViewController.java:888
src/main/java/controller/CarnetViewController.java:972
src/main/java/controller/CarnetViewController.java:1890
src/main/java/controller/CarnetViewController.java:1970
src/main/java/controller/SitesViewController.java:803
src/main/java/controller/SitesViewController.java:879",
Coordinates,Coordonnées,,src/main/java/controller/WaypViewController.java:271,
"1. Long names","1. Noms longs",,src/main/java/controller/WaypViewController.java:320,
"Only long names are written e.g. MONTMIN FORCLAZ","Uniquement noms longs comme MONTMIN FORCLAZ",,src/main/java/controller/WaypViewController.java:320,
"2. Short names","2. Noms courts",,src/main/java/controller/WaypViewController.java:321,
"Only short names are written e.g. D01127","Uniquement noms courts comme D01127",,src/main/java/controller/WaypViewController.java:321,
"3. Mixed","3. Mixtes",,src/main/java/controller/WaypViewController.java:322,
"Short name and the beginning of long name e.g. D01127 MONTMIN F","Nom court plus le début du nom long exemple : D01127 MONTMIN F",,src/main/java/controller/WaypViewController.java:322,
"Type of names","Types de noms",,src/main/java/controller/WaypViewController.java:324,
"Short name","Nom court",,"src/main/java/controller/WaypViewController.java:354
src/main/java/controller/CoordController.java:617
src/main/java/littlewins/winPoint.java:92",
"Long name","Nom long",,src/main/java/controller/WaypViewController.java:355,
Latitude,Latitude,,"src/main/java/controller/WaypViewController.java:356
src/main/java/controller/WaypViewController.java:1865
src/main/java/controller/SiteFormController.java:1110
src/main/java/controller/SiteFormController.java:1111
src/main/java/controller/SiteFormController.java:1112
src/main/java/controller/ConfigViewController.java:936
src/main/java/controller/CoordController.java:618
src/main/java/controller/CoordController.java:619
src/main/java/controller/CoordController.java:620
src/main/java/littlewins/winCsv.java:302
src/main/java/photos/exifReader.java:193",
Longitude,Longitude,,"src/main/java/controller/WaypViewController.java:357
src/main/java/controller/WaypViewController.java:1866
src/main/java/controller/SiteFormController.java:1113
src/main/java/controller/SiteFormController.java:1114
src/main/java/controller/SiteFormController.java:1115
src/main/java/controller/ConfigViewController.java:937
src/main/java/controller/CoordController.java:621
src/main/java/controller/CoordController.java:622
src/main/java/controller/CoordController.java:623
src/main/java/littlewins/winCsv.java:303
src/main/java/photos/exifReader.java:194",
"File format not recognized","Format de fichier non reconnu",,src/main/java/controller/WaypViewController.java:483,
